name	year	gross	runtime	genre	imdb	metascore	director	votes	title_length	genre_num
The Shawshank Redemption	1994	28341469	142	Drama	9.3	80	Frank Darabont	2343110	24	1
The Godfather	1972	134966411	175	Crime	9.2	100	Francis Ford Coppola	1620367	13	2
The Dark Knight	2008	534858444	152	Action	9	84	Christopher Nolan	2303232	15	3
The Godfather: Part II	1974	57300000	202	Crime	9	90	Francis Ford Coppola	1129952	22	2
12 Angry Men	1957	4360000	96	Crime	9	96	Sidney Lumet	689845	12	2
The Lord of the Rings: The Return of the King	2003	377845905	201	Action	8.9	94	Peter Jackson	1642758	45	3
Pulp Fiction	1994	107928762	154	Crime	8.9	94	Quentin Tarantino	1826188	12	2
Schindler's List	1993	96898818	195	Biography	8.9	94	Steven Spielberg	1213505	16	4
Inception	2010	292576195	148	Action	8.8	74	Christopher Nolan	2067042	9	3
Fight Club	1999	37030102	139	Drama	8.8	66	David Fincher	1854740	10	1
The Lord of the Rings: The Fellowship of the Ring	2001	315544750	178	Action	8.8	92	Peter Jackson	1661481	49	3
Forrest Gump	1994	330252182	142	Drama	8.8	82	Robert Zemeckis	1809221	12	1
Il buono, il brutto, il cattivo	1966	6100000	161	Western	8.8	90	Sergio Leone	688390	31	5
The Lord of the Rings: The Two Towers	2002	342551365	179	Action	8.7	87	Peter Jackson	1485555	37	3
The Matrix	1999	171479930	136	Action	8.7	73	Lana Wachowski	1676426	10	3
Goodfellas	1990	46836394	146	Biography	8.7	90	Martin Scorsese	1020727	10	4
Star Wars: Episode V - The Empire Strikes Back	1980	290475067	124	Action	8.7	82	Irvin Kershner	1159315	46	3
One Flew Over the Cuckoo's Nest	1975	1.12e+08	133	Drama	8.7	83	Milos Forman	918088	31	1
Gisaengchung	2019	53367844	132	Comedy	8.6	96	Bong Joon Ho	552778	12	6
Interstellar	2014	188020017	169	Adventure	8.6	74	Christopher Nolan	1512360	12	7
Cidade de Deus	2002	7563397	130	Crime	8.6	79	Fernando Meirelles	699256	14	2
Sen to Chihiro no kamikakushi	2001	10055859	125	Animation	8.6	96	Hayao Miyazaki	651376	29	8
Saving Private Ryan	1998	216540909	169	Drama	8.6	91	Steven Spielberg	1235804	19	1
The Green Mile	1999	136801374	189	Crime	8.6	61	Frank Darabont	1147794	14	2
La vita è bella	1997	57598247	116	Comedy	8.6	59	Roberto Benigni	623629	15	6
Se7en	1995	100125643	127	Crime	8.6	65	David Fincher	1445096	5	2
The Silence of the Lambs	1991	130742922	118	Crime	8.6	85	Jonathan Demme	1270197	24	2
Star Wars	1977	322740140	121	Action	8.6	90	George Lucas	1231473	9	3
Shichinin no samurai	1954	269061	207	Action	8.6	98	Akira Kurosawa	315744	20	3
Joker	2019	335451311	122	Crime	8.5	59	Todd Phillips	939252	5	2
Whiplash	2014	13092000	106	Drama	8.5	88	Damien Chazelle	717585	8	1
The Intouchables	2011	13182281	112	Biography	8.5	57	Olivier Nakache	760360	16	4
The Prestige	2006	53089891	130	Drama	8.5	66	Christopher Nolan	1190259	12	1
The Departed	2006	132384315	151	Crime	8.5	85	Martin Scorsese	1189773	12	2
The Pianist	2002	32572577	150	Biography	8.5	85	Roman Polanski	729603	11	4
Gladiator	2000	187705427	155	Action	8.5	67	Ridley Scott	1341460	9	3
American History X	1998	6719864	119	Drama	8.5	62	Tony Kaye	1034705	18	1
The Usual Suspects	1995	23341568	106	Crime	8.5	77	Bryan Singer	991208	18	2
Léon	1994	19501238	110	Action	8.5	64	Luc Besson	1035236	4	3
The Lion King	1994	422783777	88	Animation	8.5	88	Roger Allers	942045	13	8
Terminator 2: Judgment Day	1991	204843350	137	Action	8.5	75	James Cameron	995506	26	3
Nuovo Cinema Paradiso	1988	11990401	155	Drama	8.5	80	Giuseppe Tornatore	230763	21	1
Back to the Future	1985	210609762	116	Adventure	8.5	87	Robert Zemeckis	1058081	18	7
Once Upon a Time in the West	1968	5321508	165	Western	8.5	80	Sergio Leone	302844	28	5
Psycho	1960	3.2e+07	109	Horror	8.5	97	Alfred Hitchcock	604211	6	9
Casablanca	1942	1024560	102	Drama	8.5	100	Michael Curtiz	522093	10	1
